Bacteria,,,,,,Fungi,,,,
Days,group,Sample,Inheritance,SumGroup,,Days,group,Sample,Inheritance,SumGroup
76,Late successional,B2_G_76_2B,Inherited,0.040181098,,76,Late successional,A1_G_76_9F,Inherited,0.020929466
76,Late successional,B2_G_76_2B,Non-inherited,0,,76,Late successional,A1_G_76_9F,Non-inherited,0
76,Late successional,B2_G_76_2B,Transient,0,,76,Late successional,A1_G_76_9F,Transient,0
76,Late successional,B2_G_76_3B,Inherited,0.356178608,,76,Late successional,B2_G_76_1F,Inherited,0.527504555
76,Late successional,B2_G_76_3B,Non-inherited,0,,76,Late successional,B2_G_76_1F,Non-inherited,0
76,Late successional,B2_G_76_3B,Transient,0,,76,Late successional,B2_G_76_1F,Transient,0.079599271
76,Late successional,B2_G_76_4B,Inherited,0.018121911,,76,Late successional,B2_G_76_2F,Inherited,0.022734399
76,Late successional,B2_G_76_4B,Non-inherited,0,,76,Late successional,B2_G_76_2F,Non-inherited,0
76,Late successional,B2_G_76_4B,Transient,0,,76,Late successional,B2_G_76_2F,Transient,0.034493572
76,Late successional,B2_G_76_5B,Inherited,0,,76,Late successional,B2_G_76_3F,Inherited,0.007461855
76,Late successional,B2_G_76_5B,Non-inherited,0,,76,Late successional,B2_G_76_3F,Non-inherited,0
76,Late successional,B2_G_76_5B,Transient,0,,76,Late successional,B2_G_76_3F,Transient,0.015480566
76,Late successional,B2_G_76_6B,Inherited,0.034883721,,76,Late successional,B2_G_76_4F,Inherited,0.00191098
76,Late successional,B2_G_76_6B,Non-inherited,0,,76,Late successional,B2_G_76_4F,Non-inherited,0
76,Late successional,B2_G_76_6B,Transient,0.03875969,,76,Late successional,B2_G_76_4F,Transient,0.005812565
76,Late successional,B2_G_76_7B,Inherited,0,,76,Late successional,B2_G_76_5F,Inherited,0.144862729
76,Late successional,B2_G_76_7B,Non-inherited,0,,76,Late successional,B2_G_76_5F,Non-inherited,0
76,Late successional,B2_G_76_7B,Transient,0,,76,Late successional,B2_G_76_5F,Transient,0.006759568
76,Late successional,B2_G_76_8B,Inherited,0,,76,Late successional,B2_G_76_6F,Inherited,0.034802784
76,Late successional,B2_G_76_8B,Non-inherited,0,,76,Late successional,B2_G_76_6F,Non-inherited,0
76,Late successional,B2_G_76_8B,Transient,0,,76,Late successional,B2_G_76_6F,Transient,0.006960557
76,Late successional,B2_G_76_9B,Inherited,0,,76,Late successional,B2_G_76_7F,Inherited,0.028123745
76,Late successional,B2_G_76_9B,Non-inherited,0,,76,Late successional,B2_G_76_7F,Non-inherited,0
76,Late successional,B2_G_76_9B,Transient,0,,76,Late successional,B2_G_76_7F,Transient,0
76,Mid-successional / No trend,A1_G_76_1B,Inherited,0.043789097,,76,Late successional,B2_G_76_8F,Inherited,0.006593629
76,Mid-successional / No trend,A1_G_76_1B,Non-inherited,0,,76,Late successional,B2_G_76_8F,Non-inherited,0
76,Mid-successional / No trend,A1_G_76_1B,Transient,0,,76,Late successional,B2_G_76_8F,Transient,0
76,Mid-successional / No trend,A1_G_76_2B,Inherited,0,,76,Late successional,B2_G_76_9F,Inherited,0.04757085
76,Mid-successional / No trend,A1_G_76_2B,Non-inherited,0,,76,Late successional,B2_G_76_9F,Non-inherited,0
76,Mid-successional / No trend,A1_G_76_2B,Transient,0,,76,Late successional,B2_G_76_9F,Transient,0
76,Mid-successional / No trend,A1_G_76_3B,Inherited,0.03453125,,76,Mid-successional / No trend,A1_G_76_1F,Inherited,0.002287457
76,Mid-successional / No trend,A1_G_76_3B,Non-inherited,0,,76,Mid-successional / No trend,A1_G_76_1F,Non-inherited,0
76,Mid-successional / No trend,A1_G_76_3B,Transient,0.03,,76,Mid-successional / No trend,A1_G_76_1F,Transient,0
76,Mid-successional / No trend,A1_G_76_4B,Inherited,0,,76,Mid-successional / No trend,A1_G_76_2F,Inherited,0
76,Mid-successional / No trend,A1_G_76_4B,Non-inherited,0,,76,Mid-successional / No trend,A1_G_76_2F,Non-inherited,0
76,Mid-successional / No trend,A1_G_76_4B,Transient,0,,76,Mid-successional / No trend,A1_G_76_2F,Transient,0
76,Mid-successional / No trend,A1_G_76_5B,Inherited,0,,76,Mid-successional / No trend,A1_G_76_3F,Inherited,0.004525618
76,Mid-successional / No trend,A1_G_76_5B,Non-inherited,0,,76,Mid-successional / No trend,A1_G_76_3F,Non-inherited,0
76,Mid-successional / No trend,A1_G_76_5B,Transient,0,,76,Mid-successional / No trend,A1_G_76_3F,Transient,0
76,Mid-successional / No trend,A1_G_76_6B,Inherited,0,,76,Mid-successional / No trend,A1_G_76_4F,Inherited,0.009446694
76,Mid-successional / No trend,A1_G_76_6B,Non-inherited,0,,76,Mid-successional / No trend,A1_G_76_4F,Non-inherited,0
76,Mid-successional / No trend,A1_G_76_6B,Transient,0,,76,Mid-successional / No trend,A1_G_76_4F,Transient,0
76,Mid-successional / No trend,A1_G_76_8B,Inherited,0,,76,Mid-successional / No trend,A1_G_76_5F,Inherited,0.000765111
76,Mid-successional / No trend,A1_G_76_8B,Non-inherited,0,,76,Mid-successional / No trend,A1_G_76_5F,Non-inherited,0.000382555
76,Mid-successional / No trend,A1_G_76_8B,Transient,0,,76,Mid-successional / No trend,A1_G_76_5F,Transient,0
76,Mid-successional / No trend,A1_G_76_9B,Inherited,0,,76,Mid-successional / No trend,A1_G_76_6F,Inherited,0
76,Mid-successional / No trend,A1_G_76_9B,Non-inherited,0,,76,Mid-successional / No trend,A1_G_76_6F,Non-inherited,0
76,Mid-successional / No trend,A1_G_76_9B,Transient,0,,76,Mid-successional / No trend,A1_G_76_6F,Transient,0
76,Mid-successional / No trend,B2_G_76_1B,Inherited,0,,76,Mid-successional / No trend,A1_G_76_7F,Inherited,0
76,Mid-successional / No trend,B2_G_76_1B,Non-inherited,0,,76,Mid-successional / No trend,A1_G_76_7F,Non-inherited,0
76,Mid-successional / No trend,B2_G_76_1B,Transient,0,,76,Mid-successional / No trend,A1_G_76_7F,Transient,0
76,Mid-successional / No trend,B2_G_76_2B,Inherited,0.056593096,,76,Mid-successional / No trend,A1_G_76_8F,Inherited,0
76,Mid-successional / No trend,B2_G_76_2B,Non-inherited,0,,76,Mid-successional / No trend,A1_G_76_8F,Non-inherited,0.003280225
76,Mid-successional / No trend,B2_G_76_2B,Transient,0,,76,Mid-successional / No trend,A1_G_76_8F,Transient,0.013589503
76,Mid-successional / No trend,B2_G_76_3B,Inherited,0.108515057,,76,Mid-successional / No trend,A1_G_76_9F,Inherited,0
76,Mid-successional / No trend,B2_G_76_3B,Non-inherited,0,,76,Mid-successional / No trend,A1_G_76_9F,Non-inherited,0
76,Mid-successional / No trend,B2_G_76_3B,Transient,0,,76,Mid-successional / No trend,A1_G_76_9F,Transient,0
76,Mid-successional / No trend,B2_G_76_4B,Inherited,0,,76,Mid-successional / No trend,B2_G_76_1F,Inherited,0.002185792
76,Mid-successional / No trend,B2_G_76_4B,Non-inherited,0,,76,Mid-successional / No trend,B2_G_76_1F,Non-inherited,0
76,Mid-successional / No trend,B2_G_76_4B,Transient,0,,76,Mid-successional / No trend,B2_G_76_1F,Transient,0.003825137
76,Mid-successional / No trend,B2_G_76_5B,Inherited,0,,76,Mid-successional / No trend,B2_G_76_2F,Inherited,0
76,Mid-successional / No trend,B2_G_76_5B,Non-inherited,0,,76,Mid-successional / No trend,B2_G_76_2F,Non-inherited,0
76,Mid-successional / No trend,B2_G_76_5B,Transient,0,,76,Mid-successional / No trend,B2_G_76_2F,Transient,0
76,Mid-successional / No trend,B2_G_76_6B,Inherited,0,,76,Mid-successional / No trend,B2_G_76_3F,Inherited,0
76,Mid-successional / No trend,B2_G_76_6B,Non-inherited,0,,76,Mid-successional / No trend,B2_G_76_3F,Non-inherited,0
76,Mid-successional / No trend,B2_G_76_6B,Transient,0,,76,Mid-successional / No trend,B2_G_76_3F,Transient,0
76,Mid-successional / No trend,B2_G_76_7B,Inherited,0,,76,Mid-successional / No trend,B2_G_76_4F,Inherited,0
76,Mid-successional / No trend,B2_G_76_7B,Non-inherited,0,,76,Mid-successional / No trend,B2_G_76_4F,Non-inherited,0
76,Mid-successional / No trend,B2_G_76_7B,Transient,0,,76,Mid-successional / No trend,B2_G_76_4F,Transient,0
76,Mid-successional / No trend,B2_G_76_8B,Inherited,0,,76,Mid-successional / No trend,B2_G_76_5F,Inherited,0
76,Mid-successional / No trend,B2_G_76_8B,Non-inherited,0,,76,Mid-successional / No trend,B2_G_76_5F,Non-inherited,0
76,Mid-successional / No trend,B2_G_76_8B,Transient,0,,76,Mid-successional / No trend,B2_G_76_5F,Transient,0.00218386
76,Mid-successional / No trend,B2_G_76_9B,Inherited,0,,76,Mid-successional / No trend,B2_G_76_6F,Inherited,0
76,Mid-successional / No trend,B2_G_76_9B,Non-inherited,0,,76,Mid-successional / No trend,B2_G_76_6F,Non-inherited,0
76,Mid-successional / No trend,B2_G_76_9B,Transient,0,,76,Mid-successional / No trend,B2_G_76_6F,Transient,0.004640371
76,NA,A1_G_76_1B,Transient,0,,76,Mid-successional / No trend,B2_G_76_7F,Inherited,0
76,NA,A1_G_76_2B,Transient,0,,76,Mid-successional / No trend,B2_G_76_7F,Non-inherited,0
76,NA,A1_G_76_3B,Transient,0,,76,Mid-successional / No trend,B2_G_76_7F,Transient,0
76,NA,A1_G_76_4B,Transient,0,,76,Mid-successional / No trend,B2_G_76_8F,Inherited,0
76,NA,A1_G_76_5B,Transient,0,,76,Mid-successional / No trend,B2_G_76_8F,Non-inherited,0
76,NA,A1_G_76_6B,Transient,0,,76,Mid-successional / No trend,B2_G_76_8F,Transient,0
76,NA,A1_G_76_8B,Transient,0,,76,Mid-successional / No trend,B2_G_76_9F,Inherited,0
76,NA,A1_G_76_9B,Transient,0,,76,Mid-successional / No trend,B2_G_76_9F,Non-inherited,0
76,NA,B2_G_76_1B,Transient,0,,76,Mid-successional / No trend,B2_G_76_9F,Transient,0
76,NA,B2_G_76_2B,Transient,0,,76,NA,A1_G_76_1F,Transient,0
76,NA,B2_G_76_3B,Transient,0,,76,NA,A1_G_76_2F,Transient,0
76,NA,B2_G_76_4B,Transient,0,,76,NA,A1_G_76_3F,Transient,0
76,NA,B2_G_76_5B,Transient,0,,76,NA,A1_G_76_4F,Transient,0
76,NA,B2_G_76_6B,Transient,0,,76,NA,A1_G_76_5F,Transient,0
76,NA,B2_G_76_7B,Transient,0,,76,NA,A1_G_76_6F,Transient,0
76,NA,B2_G_76_8B,Transient,0,,76,NA,A1_G_76_7F,Transient,0
76,NA,B2_G_76_9B,Transient,0,,76,NA,A1_G_76_8F,Transient,0
90,Early successional,A1_G_90_1B,Inherited,0.039206424,,76,NA,A1_G_76_9F,Transient,0
90,Early successional,A1_G_90_1B,Non-inherited,0.026924894,,76,NA,B2_G_76_1F,Transient,0
90,Early successional,A1_G_90_1B,Transient,0.00629822,,76,NA,B2_G_76_2F,Transient,0
90,Early successional,A1_G_90_2B,Inherited,0.050102482,,76,NA,B2_G_76_3F,Transient,0
90,Early successional,A1_G_90_2B,Non-inherited,0.118879527,,76,NA,B2_G_76_4F,Transient,0
90,Early successional,A1_G_90_2B,Transient,0.114324755,,76,NA,B2_G_76_5F,Transient,0
90,Early successional,A1_G_90_3B,Inherited,0,,76,NA,B2_G_76_6F,Transient,0
90,Early successional,A1_G_90_3B,Non-inherited,0.020725388,,76,NA,B2_G_76_7F,Transient,0
90,Early successional,A1_G_90_3B,Transient,0,,76,NA,B2_G_76_8F,Transient,0
90,Early successional,A1_G_90_4B,Inherited,0.018481131,,76,NA,B2_G_76_9F,Transient,0
90,Early successional,A1_G_90_4B,Non-inherited,0.023916757,,90,Early successional,A1_G_90_1F,Inherited,0.899777046
90,Early successional,A1_G_90_4B,Transient,0,,90,Early successional,A1_G_90_1F,Non-inherited,0.025905087
90,Early successional,A1_G_90_5B,Inherited,0.03639352,,90,Early successional,A1_G_90_1F,Transient,0.01581909
90,Early successional,A1_G_90_5B,Non-inherited,0.030054003,,90,Early successional,A1_G_90_2F,Inherited,0.92253272
90,Early successional,A1_G_90_5B,Transient,0,,90,Early successional,A1_G_90_2F,Non-inherited,0.018305624
90,Early successional,A1_G_90_6B,Inherited,0.121253406,,90,Early successional,A1_G_90_2F,Transient,0.02113548
90,Early successional,A1_G_90_6B,Non-inherited,0.042623589,,90,Early successional,A1_G_90_3F,Inherited,0.972901679
90,Early successional,A1_G_90_6B,Transient,0.004281822,,90,Early successional,A1_G_90_3F,Non-inherited,0.011430855
90,Early successional,A1_G_90_7B,Inherited,0.830480848,,90,Early successional,A1_G_90_3F,Transient,0.008633093
90,Early successional,A1_G_90_7B,Non-inherited,0,,90,Early successional,A1_G_90_4F,Inherited,0.783161721
90,Early successional,A1_G_90_7B,Transient,0,,90,Early successional,A1_G_90_4F,Non-inherited,0.170632516
90,Early successional,A1_G_90_8B,Inherited,0.559001396,,90,Early successional,A1_G_90_4F,Transient,0.006316518
90,Early successional,A1_G_90_8B,Non-inherited,0.002170879,,90,Early successional,A1_G_90_5F,Inherited,0.717831813
90,Early successional,A1_G_90_8B,Transient,0,,90,Early successional,A1_G_90_5F,Non-inherited,0.067122591
90,Early successional,A1_G_90_9B,Inherited,0.233733239,,90,Early successional,A1_G_90_5F,Transient,0.164640323
90,Early successional,A1_G_90_9B,Non-inherited,0.001834862,,90,Early successional,A1_G_90_6F,Inherited,0.165035705
90,Early successional,A1_G_90_9B,Transient,0,,90,Early successional,A1_G_90_6F,Non-inherited,0.351582474
90,Early successional,B2_G_90_1B,Inherited,0.777971647,,90,Early successional,A1_G_90_6F,Transient,0.075376885
90,Early successional,B2_G_90_1B,Non-inherited,0,,90,Early successional,A1_G_90_7F,Inherited,0.644941869
90,Early successional,B2_G_90_1B,Transient,0,,90,Early successional,A1_G_90_7F,Non-inherited,0.07684886
90,Early successional,B2_G_90_2B,Inherited,0,,90,Early successional,A1_G_90_7F,Transient,0.016595108
90,Early successional,B2_G_90_2B,Non-inherited,0.514285714,,90,Early successional,A1_G_90_8F,Inherited,0.120300752
90,Early successional,B2_G_90_2B,Transient,0,,90,Early successional,A1_G_90_8F,Non-inherited,0.000469925
90,Early successional,B2_G_90_3B,Inherited,0.157763975,,90,Early successional,A1_G_90_8F,Transient,0.876233552
90,Early successional,B2_G_90_3B,Non-inherited,0.171925467,,90,Early successional,A1_G_90_9F,Inherited,0.843928247
90,Early successional,B2_G_90_3B,Transient,0,,90,Early successional,A1_G_90_9F,Non-inherited,0.00661321
90,Early successional,B2_G_90_4B,Inherited,0,,90,Early successional,A1_G_90_9F,Transient,0.011407787
90,Early successional,B2_G_90_4B,Non-inherited,0.072905895,,90,Early successional,B2_G_90_1F,Inherited,0.865509293
90,Early successional,B2_G_90_4B,Transient,0,,90,Early successional,B2_G_90_1F,Non-inherited,0.11014263
90,Early successional,B2_G_90_5B,Inherited,0.605226411,,90,Early successional,B2_G_90_1F,Transient,0.006627287
90,Early successional,B2_G_90_5B,Non-inherited,0.029323758,,90,Early successional,B2_G_90_2F,Inherited,0.756813717
90,Early successional,B2_G_90_5B,Transient,0.001994813,,90,Early successional,B2_G_90_2F,Non-inherited,0.000428606
90,Early successional,B2_G_90_6B,Inherited,0.391593973,,90,Early successional,B2_G_90_2F,Transient,0.00060721
90,Early successional,B2_G_90_6B,Non-inherited,0.118318795,,90,Early successional,B2_G_90_3F,Inherited,0.984987687
90,Early successional,B2_G_90_6B,Transient,0,,90,Early successional,B2_G_90_3F,Non-inherited,0.00539875
90,Early successional,B2_G_90_7B,Inherited,0.354402569,,90,Early successional,B2_G_90_3F,Transient,0.006156469
