OTU,Phylum,Class,Order,Family,Genus,Species,total,number,OTU_id
94eec9e23f852580cdfd98cbc4a510ba,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,unidentified,6,B12446,B12446_Deinococcus
971edbdfbdf7c261789bda0dea87ed40,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12447,B12447_o_NA
973d55e16b7bbee34c6b1e57e257e216,Firmicutes,Clostridia,Clostridiales,unidentified,unidentified,unidentified,6,B12448,B12448_o_Clostridiales
97b8e3f0201a157637a60b1ca6115273,Kiritimatiellaeota,Kiritimatiellae,WCHB1-41,metagenome,metagenome,metagenome,6,B12449,B12449_metagenome
980872209bab72dccb8f9626a46b956d,Bacteroidetes,Ignavibacteria,OPB56,uncultured bacterium #0319-6E22,uncultured bacterium #0319-6E22,uncultured bacterium #0319-6E22,6,B12450,B12450_uncultured.bacterium.#0319.6E22
9a2d9cf5eede18d9bcc11bddac05f0f5,WS4,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12451,B12451_o_NA
9abd2aac4b0e503f4c3a3c2297155446,Chloroflexi,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12452,B12452_o_NA
9b8eb5a3174704e3d1b22357bca61878,Omnitrophicaeota,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12453,B12453_uncultured.bacterium
9c376b13b67e353412c548b0b1c235de,Firmicutes,Clostridia,Clostridiales,unidentified,unidentified,unidentified,6,B12454,B12454_o_Clostridiales
9c43a78cff0fd1f88a95a21e546dcda7,Planctomycetes,Phycisphaerae,Tepidisphaerales,CPla-3 termite group,metagenome,metagenome,6,B12455,B12455_metagenome
9cdf0d26ab9a0936ec41a41d461cfc21,Armatimonadetes,uncultured,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium,6,B12456,B12456_uncultured.soil.bacterium
9d71e1437908103ffefe286e224d5296,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12457,B12457_o_NA
9dd5a87909ab41d79be6053d9539a7c0,Fibrobacteres,Chitinivibrionia,uncultured,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12458,B12458_uncultured.bacterium
9e2eb5da54d2949a39b20bac269b05c1,BRC1,uncultured soil bacterium PBS-74,uncultured soil bacterium PBS-74,uncultured soil bacterium PBS-74,uncultured soil bacterium PBS-74,uncultured soil bacterium PBS-74,6,B12459,B12459_uncultured.soil.bacterium.PBS.74
9e971baad898d0ec068c3472912b1b96,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Blvii28 wastewater-sludge group,uncultured Bacteroidetes bacterium,6,B12460,B12460_Blvii28.wastewater.sludge.group
a0ea00af91687776d8641df109fe8862,Chloroflexi,NLS2-31,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12461,B12461_uncultured.bacterium
a0f238a1978fc057eb6a408d720ef438,Acidobacteria,Subgroup 15,unidentified,unidentified,unidentified,unidentified,6,B12462,B12462_o_NA
a10e669ac16064a13681449f94cde516,Proteobacteria,Deltaproteobacteria,unidentified,unidentified,unidentified,unidentified,6,B12463,B12463_o_NA
a18bb100a2b4ee4ea7b89145ebf71f09,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12464,B12464_o_NA
a2dccce4cb988b27025e8d2a829e8b5b,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,metagenome,6,B12465,B12465_Candidatus.Protochlamydia
a4434e213695f761d39b8eb1090ef6c9,Chloroflexi,Dehalococcoidia,unidentified,unidentified,unidentified,unidentified,6,B12466,B12466_o_NA
a55a3bf524f82c2d98d7eeffe7a283c8,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12467,B12467_o_NA
a697ec88b8d8c39bcbfaf098a3761ab3,Firmicutes,Clostridia,Clostridiales,Family XVIII,uncultured,unidentified,6,B12468,B12468_uncultured
a6a4bffea13777b35a621a17947a2141,Dependentiae,Babeliae,Babeliales,unidentified,unidentified,unidentified,6,B12469,B12469_o_Babeliales
a9e4a25b56776d3ca9db29bac6d2e97e,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12470,B12470_o_NA
aa4938f4e91d94e056123ee676c896f2,Proteobacteria,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12471,B12471_o_NA
AB003168.1.1438,Cyanobacteria,Oxyphotobacteria,Phormidesmiales,Nodosilineaceae,Nodosilinea PCC-7104,unidentified,6,B12472,B12472_Nodosilinea.PCC.7104
AB240250.1.1496,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26,uncultured bacterium,uncultured bacterium,6,B12473,B12473_uncultured.bacterium
AB240295.1.1479,Armatimonadetes,uncultured,unidentified,unidentified,unidentified,unidentified,6,B12474,B12474_o_NA
AB308475.1.1535,Firmicutes,Bacilli,Bacillales,Bacillaceae,Calditerricola,Calditerricola yamamurae,6,B12475,B12475_Calditerricola
AB486580.1.1372,BRC1,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12476,B12476_o_NA
AB486592.1.1351,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Oxobacter,uncultured bacterium,6,B12477,B12477_Oxobacter
AB637096.1.1524,Firmicutes,Bacilli,Bacillales,Bacillaceae,unidentified,unidentified,6,B12478,B12478_f_Bacillaceae
AB661559.1.1414,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured verrucomicrobium DEV020,uncultured verrucomicrobium DEV020,6,B12479,B12479_uncultured.verrucomicrobium.DEV020
AB672229.1.1478,Proteobacteria,Deltaproteobacteria,Myxococcales,bacteriap25,uncultured soil bacterium,uncultured soil bacterium,6,B12480,B12480_uncultured.soil.bacterium
AB838978.1.1466,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 10,unidentified,6,B12481,B12481_Clostridium.sensu.stricto.10
AF351220.1.1480,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus,unidentified,6,B12482,B12482_Syntrophus
AJ519671.1.1292,Acidobacteria,Aminicenantia,Aminicenantales,uncultured soil bacterium,uncultured soil bacterium,uncultured soil bacterium,6,B12483,B12483_uncultured.soil.bacterium
AM230703.1.1469,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,unidentified,unidentified,6,B12484,B12484_f_Nostocaceae
AM490745.1.1513,Proteobacteria,Deltaproteobacteria,NKB15,unidentified,unidentified,unidentified,6,B12485,B12485_o_NKB15
AY029801.1.1485,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia trevisanii,6,B12486,B12486_Leptotrichia
AY212574.1.1520,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,uncultured Cellvibrio sp.,6,B12487,B12487_Cellvibrio
AY289487.1.1302,Chloroflexi,AD3,unidentified,unidentified,unidentified,unidentified,6,B12488,B12488_o_NA
AY395402.1.1425,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,uncultured eubacterium WD2124,6,B12489,B12489_Acidibacter
AY898030.1.1344,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,unidentified,6,B12490,B12490_Blastomonas
AY959140.1.1508,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Asinibacterium,uncultured bacterium,6,B12491,B12491_Asinibacterium
b03a6dafbcfe29a0d03a925924bd0604,Nitrospirae,Thermodesulfovibrionia,uncultured,uncultured prokaryote,uncultured prokaryote,uncultured prokaryote,6,B12492,B12492_uncultured.prokaryote
b04d530802b645d0cea8b82eeab7ce02,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured organism,uncultured organism,uncultured organism,6,B12493,B12493_uncultured.organism
b15fc56ef50f527e0e428c67d163d4c4,Chloroflexi,Chloroflexia,Thermomicrobiales,unidentified,unidentified,unidentified,6,B12494,B12494_o_Thermomicrobiales
b1c15404618f6942a36e692c02b57fb1,Chloroflexi,Ktedonobacteria,Ktedonobacterales,Ktedonobacteraceae,21-Feb,uncultured bacterium,6,B12495,B12495_1921.2
b2a3cc80f95f7391878b831506b38ac4,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12496,B12496_o_NA
b3814e69025b3b9f14a35068741a412b,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,unidentified,unidentified,unidentified,6,B12497,B12497_o_Verrucomicrobiales
b6d7525468e113f7892fed9ab77ecf0f,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12498,B12498_o_NA
b9865b659d207c115f9d5909cedfe84c,Chloroflexi,Anaerolineae,SBR1031,uncultured Anaerolineaceae bacterium,uncultured Anaerolineaceae bacterium,uncultured Anaerolineaceae bacterium,6,B12499,B12499_uncultured.Anaerolineaceae.bacterium
ba523e56865637791a7ff862eb2269a9,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12500,B12500_o_NA
ba82ae56856c733ec7fd10b1989b373d,Patescibacteria,ABY1,Candidatus Magasanikbacteria,unidentified,unidentified,unidentified,6,B12501,B12501_o_Candidatus.Magasanikbacteria
bb034d17216628655d86e36b4f33ce58,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12502,B12502_o_NA
bbe511357dd856188678f911f31d2e76,Patescibacteria,Gracilibacteria,Candidatus Peregrinibacteria,metagenome,metagenome,metagenome,6,B12503,B12503_metagenome
bcff437aa22f7ed24b34130f1babdc09,Patescibacteria,Parcubacteria,Candidatus Yanofskybacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12504,B12504_uncultured.bacterium
bd14c5933d2692f9d964bc3fed48bf9d,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,uncultured bacterium,uncultured bacterium,6,B12505,B12505_uncultured.bacterium
bddfd1f797209b9a74c951ba6c3c78aa,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,unidentified,unidentified,6,B12506,B12506_f_Blfdi19
bde2cb6c4029f205e1e2aa8f3ceb6e45,Patescibacteria,Parcubacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12507,B12507_uncultured.bacterium
be3bea43a90f2d8ea569ee5f0cb9b983,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27 clade,uncultured bacterium,6,B12508,B12508_OM27.clade
bf211fdbebd2b5a51bff6102a879a739,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,Spirochaeta sp.,6,B12509,B12509_Spirochaeta.2
c23810e9aba0e4d00918cc01dd6b8609,Planctomycetes,Planctomycetacia,Isosphaerales,Isosphaeraceae,uncultured,uncultured soil bacterium,6,B12510,B12510_uncultured
c2fb47c32850c113720d7faa916e183c,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Peredibacter,metagenome,6,B12511,B12511_Peredibacter
c43ac06c737a9715735dda2d4bd4ce91,Fibrobacteres,Fibrobacteria,Fibrobacterales,B122,uncultured bacterium,uncultured bacterium,6,B12512,B12512_uncultured.bacterium
c4b3b478f505343b054ac8c050ea7e2c,Planctomycetes,vadinHA49,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12513,B12513_uncultured.bacterium
c52b1a167bc1597b08645f6c0ac7c67d,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,unidentified,unidentified,6,B12514,B12514_f_Parachlamydiaceae
c55f47f832807df39410615dfea305c1,Acidobacteria,Subgroup 25,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium,uncultured Acidobacteria bacterium,6,B12515,B12515_uncultured.Acidobacteria.bacterium
c5687448533c69c484b41ee22ac1d178,Planctomycetes,vadinHA49,unidentified,unidentified,unidentified,unidentified,6,B12516,B12516_o_NA
c56da3caf3dc534928cff29c4377c898,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,unidentified,unidentified,6,B12517,B12517_f_Pirellulaceae
c5b8f6c2b9b1f027293509b16ce69803,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured Rhodospirillaceae bacterium,uncultured Rhodospirillaceae bacterium,6,B12518,B12518_uncultured.Rhodospirillaceae.bacterium
c65bd252e066fcebe788197f011c2397,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12519,B12519_o_NA
c709260c8c157ffaa6960d7a27949302,Actinobacteria,Thermoleophilia,Solirubrobacterales,67-14,uncultured soil bacterium,uncultured soil bacterium,6,B12520,B12520_uncultured.soil.bacterium
c7af6a895590a2cd75794c1e658847c8,Acidobacteria,Acidobacteriia,Subgroup 12,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12521,B12521_uncultured.bacterium
c7d646d1a391d56f99de9cf691b12b1e,Chloroflexi,Anaerolineae,RBG-13-54-9,uncultured eubacterium WCHB1-50,uncultured eubacterium WCHB1-50,uncultured eubacterium WCHB1-50,6,B12522,B12522_uncultured.eubacterium.WCHB1.50
c9761b3e345a6e7cacce5d62fe59aded,Planctomycetes,Phycisphaerae,MSBL9,GWC2-45-44,uncultured bacterium,uncultured bacterium,6,B12523,B12523_uncultured.bacterium
c9e490e099679e7e9af82e49c651e77b,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax,uncultured delta proteobacterium,6,B12524,B12524_Bacteriovorax
cb4c6e8a321542c0b25da4cde37bfc0a,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,uncultured bacterium,6,B12525,B12525_Coxiella
cdf8e7c35a490e95d5b577dec7f0a9ad,Spirochaetes,V2072-189E03,unidentified,unidentified,unidentified,unidentified,6,B12526,B12526_o_NA
ce16f3f12bea5a8d3ba67d26a387bdc9,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured bacterium,6,B12527,B12527_uncultured
ce50237273dae1011853522770071d1a,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,unidentified,6,B12528,B12528_Haliangium
ce6e453e143bb86b96781a8209736bfb,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,uncultured,unidentified,6,B12529,B12529_uncultured
cebc3b05ef50eb5aeeb2304b42af64e1,Omnitrophicaeota,uncultured Verrucomicrobia bacterium,uncultured Verrucomicrobia bacterium,uncultured Verrucomicrobia bacterium,uncultured Verrucomicrobia bacterium,uncultured Verrucomicrobia bacterium,6,B12530,B12530_uncultured.Verrucomicrobia.bacterium
cf61e4471eb15ce15d5d6bdc0d18973c,Chloroflexi,Anaerolineae,C10-SB1A,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12531,B12531_uncultured.bacterium
cfcd1861d2e88db3790110e7df197802,Bacteroidetes,Bacteroidia,Chitinophagales,uncultured,uncultured soil bacterium,uncultured soil bacterium,6,B12532,B12532_uncultured.soil.bacterium
CP003943.5561522.5563001,Cyanobacteria,Oxyphotobacteria,Nostocales,Nostocaceae,Calothrix PCC-7507,Calothrix sp. PCC 7507,6,B12533,B12533_Calothrix.PCC.7507
CR933268.1.1287,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unidentified,6,B12534,B12534_Bacteroides
CU917924.1.1358,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,uncultured,uncultured Bacteroidetes bacterium,6,B12535,B12535_uncultured
CU918221.1.1330,Actinobacteria,Coriobacteriia,Coriobacteriales,uncultured,uncultured Coriobacteriaceae bacterium,uncultured Coriobacteriaceae bacterium,6,B12536,B12536_uncultured.Coriobacteriaceae.bacterium
CZCB01001126.1614.3023,Firmicutes,Clostridia,Clostridiales,Caldicoprobacteraceae,Caldicoprobacter,anaerobic digester metagenome,6,B12537,B12537_Caldicoprobacter
CZDF01000132.1508677.1510155,Cyanobacteria,Oxyphotobacteria,Nostocales,Phormidiaceae,Planktothrix NIVA-CYA 15,unidentified,6,B12538,B12538_Planktothrix.NIVA.CYA.15
d153d9701ad9b70b56341904636ed21e,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured bacterium,uncultured bacterium,6,B12539,B12539_uncultured.bacterium
d1afaf27ed9221c0451acf479dd51cf4,Chloroflexi,Anaerolineae,SBR1031,A4b,uncultured bacterium,uncultured bacterium,6,B12540,B12540_uncultured.bacterium
d21444d22c86678bbad56aa52187900e,Armatimonadetes,DG-56,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12541,B12541_uncultured.bacterium
d292f3b9c2ea0b54e85d7860e7c3ee60,Armatimonadetes,uncultured,uncultured Armatimonadetes bacterium,uncultured Armatimonadetes bacterium,uncultured Armatimonadetes bacterium,uncultured Armatimonadetes bacterium,6,B12542,B12542_uncultured.Armatimonadetes.bacterium
d2d441848090329b09db18319fceb1b8,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,uncultured bacterium,6,B12543,B12543_Neochlamydia
d33a9aeccf8b82a57f58277cc72a21d3,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,metagenome,metagenome,6,B12544,B12544_metagenome
d48d39ce869ad654f5c9214bc2781f79,Patescibacteria,Berkelbacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12545,B12545_uncultured.bacterium
d5320fbbdde8f61adfb603011e6ef3ff,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured soil bacterium,uncultured soil bacterium,6,B12546,B12546_uncultured.soil.bacterium
d831ce27bb018d569e082bd2851d70ac,Patescibacteria,Parcubacteria,unidentified,unidentified,unidentified,unidentified,6,B12547,B12547_o_NA
d8f4e27d614c6df7c355951914176244,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,unidentified,unidentified,6,B12548,B12548_f_Lachnospiraceae
d915de0e2abc81dc5acac0e23311db0e,Cyanobacteria,Melainabacteria,Gastranaerophilales,Candidatus Melainabacteria bacterium RIFOXYA2_FULL_32_9,Candidatus Melainabacteria bacterium RIFOXYA2_FULL_32_9,Candidatus Melainabacteria bacterium RIFOXYA2_FULL_32_9,6,B12549,B12549_Candidatus.Melainabacteria.bacterium.RIFOXYA2_FULL_32_9
da0f6f77519522ace2a4b0028bd32e9a,Kiritimatiellaeota,Kiritimatiellae,WCHB1-41,uncultured Verrucomicrobia bacterium,uncultured Verrucomicrobia bacterium,uncultured Verrucomicrobia bacterium,6,B12550,B12550_uncultured.Verrucomicrobia.bacterium
da77a61b934f99fb38f8b76ba00e4efa,Acidobacteria,Subgroup 6,unidentified,unidentified,unidentified,unidentified,6,B12551,B12551_o_NA
dbfc5c3bb9dcd6a6a26d14bd56c58162,Actinobacteria,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12552,B12552_o_NA
de946c6ad30179da4eaef83448386327,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Permianibacter,uncultured soil bacterium,6,B12553,B12553_Permianibacter
df5e812ea4092a3dfb363543c7b1ec04,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,uncultured,uncultured bacterium,6,B12554,B12554_uncultured
DQ676409.1.1456,Proteobacteria,Deltaproteobacteria,NB1-j,unidentified,unidentified,unidentified,6,B12555,B12555_o_NB1.j
DQ824043.1.1365,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,unidentified,6,B12556,B12556_Collinsella
DQ833484.1.1524,Actinobacteria,Acidimicrobiia,Actinomarinales,uncultured,unidentified,unidentified,6,B12557,B12557_f_uncultured
e0879a4eedbc500543199ed316a4f1a0,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,marine metagenome,marine metagenome,6,B12558,B12558_marine.metagenome
e0a7116c1b2207eecc8b1a185005fa69,Proteobacteria,Deltaproteobacteria,Myxococcales,Phaselicystidaceae,Phaselicystis,unidentified,6,B12559,B12559_Phaselicystis
e12edd4b2966526d2f07aed3f98ce5c3,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovorax,uncultured prokaryote,6,B12560,B12560_Bacteriovorax
e2deaf55a4cb787d1a473cd41f549ee6,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,6,B12561,B12561_o_NA
e313fc34c7d882de3313bd801d0943fe,FCPU426,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12562,B12562_uncultured.bacterium
e31723c65629f7944eba18f454bbe5e2,Proteobacteria,Deltaproteobacteria,PB19,uncultured deep-sea bacterium,uncultured deep-sea bacterium,uncultured deep-sea bacterium,6,B12563,B12563_uncultured.deep.sea.bacterium
e6403f5072b2b6fbe91cd00d289cf064,Armatimonadetes,uncultured,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12564,B12564_uncultured.bacterium
e759978e6ea458a93f951b4427c7efa5,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,unidentified,unidentified,6,B12565,B12565_f_JG30.KF.CM45
e83053a3e7a2293f41fe6f3a4e41c306,Actinobacteria,Thermoleophilia,Gaiellales,uncultured,unidentified,unidentified,6,B12566,B12566_f_uncultured
e8611b87d759ad34c24b18b3e5893076,Patescibacteria,Microgenomatia,Candidatus Woesebacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12567,B12567_uncultured.bacterium
e924709418b74184ee2c1db3549fc6d2,Bacteroidetes,Bacteroidia,Sphingobacteriales,NS11-12 marine group,uncultured bacterium,uncultured bacterium,6,B12568,B12568_uncultured.bacterium
eb74764f64c893798c6b22225aa94757,Chlamydiae,Chlamydiae,Chlamydiales,cvE6,unidentified,unidentified,6,B12569,B12569_f_cvE6
ed15cbc6decaa6cfef1297231a6428cd,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,unidentified,6,B12570,B12570_Haliangium
EF018687.1.1337,Proteobacteria,Alphaproteobacteria,Rhodospirillales,uncultured,uncultured bacterium,uncultured bacterium,6,B12571,B12571_uncultured.bacterium
ef245d976f33ce0d4370647827e3e1c7,Firmicutes,Limnochordia,Limnochordales,Limnochordaceae,unidentified,unidentified,6,B12572,B12572_f_Limnochordaceae
EF516209.1.1441,Acidobacteria,Blastocatellia (Subgroup 4),Blastocatellales,Blastocatellaceae,uncultured,uncultured Acidobacteriales bacterium,6,B12573,B12573_uncultured
EF585985.1.1502,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Hydrogenispora,uncultured bacterium,6,B12574,B12574_Hydrogenispora
eff59e563f02e2b7bb2b35d093760ff3,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,Silvanigrella,unidentified,6,B12575,B12575_Silvanigrella
EU133676.1.1366,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,unidentified,unidentified,6,B12576,B12576_f_Chitinophagaceae
EU133766.1.1353,Bacteroidetes,Bacteroidia,Sphingobacteriales,env.OPS 17,unidentified,unidentified,6,B12577,B12577_f_env.OPS.17
EU134277.1.1361,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12578,B12578_uncultured.bacterium
EU134440.1.1386,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,unidentified,unidentified,6,B12579,B12579_f_0319.6G20
EU134599.1.1391,Elusimicrobia,Lineage IIc,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12580,B12580_uncultured.bacterium
EU134933.1.1233,Patescibacteria,Parcubacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12581,B12581_uncultured.bacterium
EU180564.1.1430,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,unidentified,unidentified,6,B12582,B12582_f_Nocardioidaceae
EU244098.1.1475,Bacteroidetes,Bacteroidia,Sphingobacteriales,KD3-93,metagenome,metagenome,6,B12583,B12583_metagenome
EU266777.1.1507,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,unidentified,unidentified,6,B12584,B12584_f_Ruminococcaceae
EU276488.1.1490,Acidobacteria,Blastocatellia (Subgroup 4),11월 24일,uncultured Acidobacteriales bacterium,uncultured Acidobacteriales bacterium,uncultured Acidobacteriales bacterium,6,B12585,B12585_uncultured.Acidobacteriales.bacterium
EU335453.1.1445,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,unidentified,6,B12586,B12586_SM1A02
EU440646.1.1446,Actinobacteria,Acidimicrobiia,IMCC26256,unidentified,unidentified,unidentified,6,B12587,B12587_o_IMCC26256
EU542476.1.1520,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfoprunum,uncultured bacterium,6,B12588,B12588_Desulfoprunum
EU663607.1.1411,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 1,unidentified,6,B12589,B12589_Prevotella.1
EU669610.1.1499,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,uncultured proteobacterium,6,B12590,B12590_Acidibacter
EU706198.1.1223,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Ralstonia,unidentified,6,B12591,B12591_Ralstonia
EU771969.1.1362,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium,uncultured organism,6,B12592,B12592_Peptoclostridium
EU776306.1.1423,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,unidentified,6,B12593,B12593_Lactobacillus
EU861911.1.1467,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Gemmata,unidentified,6,B12594,B12594_Gemmata
f02f1a1b42e2be94e39c40a4915f7214,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium,6,B12595,B12595_uncultured.bacterium
f12edd50068574286499adb4b0075ab0,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,Spirochaeta sp. MWH-HuW24,6,B12596,B12596_Spirochaeta.2
f1e8af28300fb4bbc98ee46421d8f63a,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,uncultured bacterium,uncultured bacterium,6,B12597,B12597_uncultured.bacterium
f2cb4f888f4ef65b0d23d963541927e7,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,uncultured bacterium,uncultured bacterium,6,B12598,B12598_uncultured.bacterium
f480d88b8068aa9484810d006236db18,Patescibacteria,Saccharimonadia,Saccharimonadales,unidentified,unidentified,unidentified,6,B12599,B12599_o_Saccharimonadales
f5172235331bac7c9322f8fe5e55ce76,Chloroflexi,Dehalococcoidia,unidentified,unidentified,unidentified,unidentified,6,B12600,B12600_o_NA
f5a2a5d541f01709dcf4d566c8852aea,Patescibacteria,CPR2,uncultured eubacterium WCHB1-60,uncultured eubacterium WCHB1-60,uncultured eubacterium WCHB1-60,uncultured eubacterium WCHB1-60,6,B12601,B12601_uncultured.eubacterium.WCHB1.60
f5be12084c74aaad575a845c1208b57a,Planctomycetes,Pla4 lineage,metagenome,metagenome,metagenome,metagenome,6,B12602,B12602_metagenome
f625320466e802c821cbb09e6f7f5e18,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,unidentified,unidentified,6,B12603,B12603_f_Microbacteriaceae
f627f78057aabfb93a7d1aa21b47127f,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,unidentified,unidentified,6,B12604,B12604_f_WD2101.soil.group
