OTU,Phylum,Class,Order,Family,Genus,Species,total,number,OTU_id
d2f15cc76e31f35f1751273555c408ec,Nitrospirae,Thermodesulfovibrionia,uncultured,uncultured bacterium,uncultured bacterium,uncultured bacterium,409,B2045,B2045_uncultured.bacterium
e043e96a182a257bb4c2a63e93a49082,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,unidentified,unidentified,409,B2046,B2046_f_WD2101.soil.group
e82c9421f11f54d6ce281a4e4461e101,Cyanobacteria,Melainabacteria,Gastranaerophilales,uncultured Merismopedia sp.,uncultured Merismopedia sp.,uncultured Merismopedia sp.,407,B2047,B2047_uncultured.Merismopedia.sp.
JF800685.1.1411,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella,metagenome,407,B2048,B2048_Smithella
AY838526.1.1522,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,unidentified,405,B2049,B2049_Stenotrophomonas
DQ676337.1.1414,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,unidentified,unidentified,405,B2050,B2050_f_Burkholderiaceae
FPLM01003296.10.1525,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,uncultured,metagenome,404,B2051,B2051_uncultured
FQ659097.1.1357,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes BD2-2,uncultured soil bacterium,uncultured soil bacterium,404,B2052,B2052_uncultured.soil.bacterium
0402f82007917e6bca79c5cbd11951fe,Nitrospirae,Thermodesulfovibrionia,uncultured,uncultured bacterium,uncultured bacterium,uncultured bacterium,403,B2053,B2053_uncultured.bacterium
AB487747.1.1366,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,unidentified,unidentified,403,B2054,B2054_f_Rhodocyclaceae
FJ672361.1.1280,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,uncultured Rhizobiales bacterium,403,B2055,B2055_Devosia
JF229088.1.1342,Armatimonadetes,Chthonomonadetes,Chthonomonadales,uncultured bacterium,uncultured bacterium,uncultured bacterium,403,B2056,B2056_uncultured.bacterium
KF509900.1.1295,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,unidentified,unidentified,403,B2057,B2057_f_Enterobacteriaceae
cfd4bfcf9ff4bb8ad6973dd054c77601,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,unidentified,402,B2058,B2058_Phenylobacterium
FM200985.1.1387,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Fluviicola sp. YS 1.2.4,402,B2059,B2059_Fluviicola
KP728229.1.1518,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfomonile,unidentified,402,B2060,B2060_Desulfomonile
FM866304.1.1417,Chloroflexi,KD4-96,unidentified,unidentified,unidentified,unidentified,401,B2061,B2061_o_NA
GQ379563.1.1252,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Pseudorhodoferax,unidentified,401,B2062,B2062_Pseudorhodoferax
FJ592705.1.1414,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,uncultured,metagenome,400,B2063,B2063_uncultured
JX505205.1.1469,Proteobacteria,Deltaproteobacteria,Myxococcales,unidentified,unidentified,unidentified,400,B2064,B2064_o_Myxococcales
LN561677.1.1321,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Altererythrobacter,unidentified,400,B2065,B2065_Altererythrobacter
578075d28b0962483e810e8015508bb0,Planctomycetes,Phycisphaerae,Tepidisphaerales,WD2101 soil group,uncultured bacterium,uncultured bacterium,399,B2066,B2066_uncultured.bacterium
